Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
13047,Boutroux - Porte de Vitry,OUI,49,2,45,31,14,OUI,OUI,2022-09-29 04:42:08,"48.822632,2.377738",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13122,Parc de Choisy,OUI,25,14,10,4,6,OUI,OUI,2022-09-29 04:42:07,"48.828156251575,2.3585135329033",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15054,Lecourbe - Jean Maridor,OUI,19,2,17,13,4,OUI,OUI,2022-09-29 04:42:07,"48.83796366147599,2.2877392172813416",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
9015,Lamartine - Faubourg Montmartre,OUI,32,25,3,2,1,OUI,OUI,2022-09-29 04:42:06,"48.87661398289084,2.339765690267086",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15063,Convention - Saint-Charles,OUI,19,1,16,15,1,OUI,OUI,2022-09-29 04:42:06,"48.84315611111599,2.2831090539693832",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19115,Porte de la Villette,OUI,27,15,12,6,6,OUI,OUI,2022-09-29 04:42:06,"48.89835196548483,2.386150136590004",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13002,Arago - Glacière,OUI,27,14,12,5,7,OUI,OUI,2022-09-29 04:42:05,"48.83486054775774,2.3445770524322067",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18140,Porte de Clignancourt - Ney,OUI,40,24,15,7,8,OUI,OUI,2022-09-29 04:42:05,"48.899641123987095,2.344321422278881",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18114,Véron - Lepic,OUI,23,19,2,1,1,OUI,OUI,2022-09-29 04:42:04,"48.88526123395252,2.334559857845307",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10110,Louis Blanc - Jemmapes,OUI,31,24,6,3,3,OUI,OUI,2022-09-29 04:42:04,"48.879330755297346,2.368448562920093",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
11043,Place Pasdeloup,OUI,21,14,7,7,0,OUI,OUI,2022-09-29 04:42:04,"48.86265421563133,2.3670325062844237",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13118,Regnault - Patay,OUI,63,7,51,45,6,OUI,OUI,2022-09-29 04:42:03,"48.82435782216384,2.377065159380436",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15059,Parc André Citroën,OUI,65,12,51,44,7,OUI,OUI,2022-09-29 04:42:03,"48.840639944296655,2.2780618071556096",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12120,Lac Daumesnil - Saint-Maurice,OUI,50,44,5,4,1,OUI,OUI,2022-09-29 04:42:03,"48.82774555743318,2.4183654785156246",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
5121,Square René Viviani - Montebello,OUI,34,32,2,2,0,OUI,OUI,2022-09-29 04:42:03,"48.851904891406384,2.347842156887055",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15109,Cevennes - Bergers,OUI,29,2,25,22,3,OUI,OUI,2022-09-29 04:42:03,"48.84240765130395,2.281037718057633",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
16112,Chernoviz - Raynouard,OUI,37,26,10,3,7,OUI,OUI,2022-09-29 04:42:03,"48.8569864146289,2.282173218142987",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17023,Porte d'Asnières,OUI,36,28,7,5,2,OUI,OUI,2022-09-29 04:42:03,"48.89035817610495,2.3036286234855656",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17108,Bessières - Porte de Clichy,OUI,33,30,1,1,0,OUI,OUI,2022-09-29 04:42:03,"48.89611762451474,2.31790903955698",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20122,Vitruve - Davout,OUI,23,15,8,3,5,OUI,OUI,2022-09-29 04:42:02,"48.86053161154489,2.4091592812626543",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18038,Rond-Point de la Chapelle,OUI,49,13,33,16,17,OUI,OUI,2022-09-29 04:42:02,"48.895126609314104,2.359971106052399",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
11104,Charonne - Robert et Sonia Delauney,OUI,20,16,3,2,1,OUI,OUI,2022-09-29 04:42:02,"48.85590755596891,2.3925706744194035",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15013,Volontaire - Lecourbe,OUI,31,0,30,29,1,OUI,OUI,2022-09-29 04:42:02,"48.8435137879902,2.3065522313117985",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20039,Belleville - Couronnes,OUI,50,21,28,15,13,OUI,OUI,2022-09-29 04:42:01,"48.868831082877,2.3809862136841",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13050,Quai Panhard et Levassor,OUI,57,49,3,2,1,OUI,OUI,2022-09-29 04:42:00,"48.82837482809675,2.384273745805574",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10013,Alibert - Jemmapes,OUI,60,26,32,28,4,OUI,OUI,2022-09-29 04:42:00,"48.8710440519842,2.366104461987773",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17030,Pereire - Rennequin,OUI,23,9,11,9,2,OUI,OUI,2022-09-29 04:42:00,"48.88364782887555,2.2952447086572647",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
11101,Charles Delescluze,OUI,49,17,28,28,0,OUI,OUI,2022-09-29 04:41:59,"48.85242200848887,2.380632497370243",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20016,Pyrénées - Maraîchers,OUI,19,2,17,10,7,OUI,OUI,2022-09-29 04:41:59,"48.85714001395299,2.4043509364128113",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19005,Flandre - Riquet,OUI,21,7,14,10,4,OUI,OUI,2022-09-29 04:41:59,"48.888013281448,2.3737595955229",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17007,Navier - Epinettes,OUI,36,9,27,14,13,OUI,OUI,2022-09-29 04:41:59,"48.89587780769155,2.3226776719093327",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12156,Niger - Soult,OUI,24,13,9,3,6,OUI,OUI,2022-09-29 04:41:58,"48.84369906369085,2.410361237220498",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15017,Place Falguière,OUI,23,6,17,10,7,OUI,OUI,2022-09-29 04:41:57,"48.83629973941847,2.3104464635252953",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20119,Square des Saint-Simoniens,OUI,25,16,8,0,8,OUI,OUI,2022-09-29 04:41:57,"48.8701796,2.3967273",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
6032,Sabot - Rennes,OUI,26,24,2,1,1,OUI,OUI,2022-09-29 04:41:57,"48.852575112948415,2.331552766263485",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19031,Manin - Crimée,OUI,23,7,15,2,13,OUI,OUI,2022-09-29 04:41:56,"48.8831217743719,2.3863670602440834",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
1022,Danielle Casanova - Place Vendôme,OUI,37,36,0,0,0,OUI,OUI,2022-09-29 04:41:56,"48.86826649822326,2.3304839059710503",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12029,Dugommier,OUI,55,11,43,42,1,OUI,OUI,2022-09-29 04:41:56,"48.838811048815,2.3896577954292",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12150,Bastille - Quai de la Rapée,OUI,27,8,19,18,1,OUI,OUI,2022-09-29 04:41:56,"48.84682410855,2.3669364675879",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
14125,Dareau - Broussais,OUI,24,2,22,11,11,OUI,OUI,2022-09-29 04:41:56,"48.8307758,2.3361804",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18029,Emile Blemont - Poteau,OUI,39,8,30,14,16,OUI,OUI,2022-09-29 04:41:55,"48.8943782,2.3415122",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12031,Gabriel Lamé,OUI,36,24,11,10,1,OUI,OUI,2022-09-29 04:41:55,"48.8351212784276,2.385534569621086",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
7003,Square Boucicaut,OUI,60,53,6,3,3,OUI,OUI,2022-09-29 04:41:55,"48.851296433665276,2.325061820447445",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19008,Flandre - Alphonse Karr,OUI,26,14,11,3,8,OUI,OUI,2022-09-29 04:41:55,"48.89465,2.381868",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15019,Paul Barruel - Vaugirard,OUI,39,7,32,18,14,OUI,OUI,2022-09-29 04:41:55,"48.84014918546239,2.3044332861900334",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18030,Joseph Dijon - Ornano,OUI,37,7,25,11,14,OUI,OUI,2022-09-29 04:41:54,"48.89374453351521,2.3476678133010864",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12011,Charenton - Place du Col Bourgoin,OUI,35,1,32,25,7,OUI,OUI,2022-09-29 04:41:54,"48.844867319554,2.3825789350545",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17022,Pereire - Place de Wagram,OUI,46,34,11,8,3,OUI,OUI,2022-09-29 04:41:54,"48.887070607581215,2.304111124531457",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12033,François Truffaut - Saint Emilion,OUI,66,53,13,12,1,OUI,OUI,2022-09-29 04:41:53,"48.83372354344807,2.386601903271428",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15132,Bargue -  Dutot,OUI,21,1,19,13,6,OUI,OUI,2022-09-29 04:41:53,"48.837884,2.308876",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
